# Updated 09/02/17 13:03 by GenisysPro 1.1dev
# victim name | ban date | banned by | banned until | reason

i# updated 08/16/17 15:51 by genisyspro 1.1devc47625b|2017-08-16 08:15:09 +0000|(Unknown)|Forever|Banned by an operator.
yang|2017-08-11 14:47:45 +0800|power777888|Forever|Banned by an operator.
urbanhitman13|2017-08-11 14:43:56 +0800|power777888|Forever|Banned by an operator.
ren|2017-08-11 14:47:43 +0800|power777888|Forever|Banned by an operator.
worldfire0503|2017-09-02 13:02:00 +0800|JeffXiang|Forever|Banned by an operator.
kwkkwk|2017-08-20 19:48:17 +0800|lihaoyy|Forever|Banned by an operator.
pvp|2017-08-20 19:49:13 +0800|lihaoyy|Forever|Banned by an operator.
woaiyy|2017-08-21 17:57:55 +0800|Zi_Jian|Forever|Banned by an operator.
matthem1701|2017-08-31 20:48:00 +0800|power777888|Forever|Banned by an operator.
matthew1701|2017-08-31 20:48:24 +0800|power777888|Forever|Banned by an operator.
power7778&8|2017-08-31 21:11:04 +0800|lihaoyy|Forever|Banned by an operator.
pvo2|2017-08-31 21:12:36 +0800|lihaoyy|Forever|Banned by an operator.
pvp2|2017-08-31 21:13:57 +0800|lihaoyy|Forever|Banned by an operator.
sams|2017-09-01 18:09:22 +0800|lihaoyy|Forever|Banned by an operator.
zi_jian|2017-09-01 21:35:20 +0800|lihaoyy|Forever|Banned by an operator.
power777888|2017-09-02 13:01:42 +0800|JeffXiang|Forever|Banned by an operator.
